"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Contract Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Facility Street Address","Facility Zip Code","Facility Congressional District","Facility NAICS Code","PPP Lender","Jobs Reported at Time of Application","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Median Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis","Employment Issues","Tax/Subsidy Issues","Government Contracting Issues","Environment/Safety Issues","Consumer Protection Issues","CEO Compensation Issues","POGO Link","Just Capital Link","Follow The Money Link","Violation Tracker Link","Subsidy Tracker Link"
"Snead State Community College","Alabama Community College System","20200409","grant","$619,599","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Alabama","","","","","","","0","","non-profit","","Alabama","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Snow College","Utah System of Higher Education","20200409","grant","$1,239,155","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Utah","","","","","","","0","","non-profit","","Utah","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Solano Community College","California Community Colleges","20200409","grant","$1,565,107","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","California","","","","","","","0","","non-profit","","California","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Somerset Community College","Kentucky Community and Technical College System","20200409","grant","$1,514,722","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Kentucky","Somerset","","","","","","0","","non-profit","","Kentucky","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Sonoma State University","California State University","20200409","grant","$4,546,723","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","California","","","","","","","0","","non-profit","","California","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Carolina State University","South Carolina State University","20200409","grant","$2,031,043","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","South Carolina","","","","","","","0","","non-profit","","South Carolina","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Central College","Minnesota State Colleges and Universities","20200409","grant","$936,741","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Minnesota","","","","","","","0","","non-profit","","Minnesota","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South College","South College of Tennessee, Inc.","20200409","grant","$1,788,160","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Tennessee","","","","","","","0","","privately held","","Tennessee","USA","miscellaneous services","for-profit colleges","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Dakota State University","South Dakota State University","20200409","grant","$3,010,084","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","South Dakota","","","","","","","0","","non-profit","","South Dakota","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Florida State College","Florida College System","20200409","grant","$1,055,722","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Florida","","","","","","","0","","non-profit","","Florida","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Punta Gorda","Charlotte County Airport Authority","20200414","grant","$23,846,735","$0","$0","Federal Aviation Administration","Airport Grant Program ($500,000 and up)","1st Round Payment (CARES Act). The amounts, which appear on a map found at the URL below, can also be downloaded into a KML file by expanding the map to full screen and clicking on the three dots at the top of the legend.","https://www.faa.gov/airports/cares_act/map/","","Florida","Punta Gorda","","","","","","0","","government-owned","","Florida","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Georgia State College","University System of Georgia","20200409","grant","$1,211,368","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Georgia","","","","","","","0","","non-profit","","Georgia","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Georgia Technical College","Technical College System of Georgia","20200409","grant","$935,054","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Georgia","","","","","","","0","","non-profit","","Georgia","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Louisiana Community College","Louisiana Community and Technical College System","20200409","grant","$2,822,974","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Louisiana","","","","","","","0","","non-profit","","Louisiana","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Mountain Community College","Maricopa County Community College District","20200409","grant","$1,049,307","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Arizona","","","","","","","0","","non-profit","","Arizona","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Plains College","South Plains College","20200409","grant","$2,591,109","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Texas","","","","","","","0","","non-profit","","Texas","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Suburban College Of Cook County","Illinois Community College System","20200409","grant","$1,104,212","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Illinois","","","","","","","0","","non-profit","","Illinois","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"South Texas College","South Texas College","20200409","grant","$10,011,199","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Texas","Mcallen","","","","","","0","","non-profit","","Texas","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southcentral Kentucky Community And Technical College","Kentucky Community and Technical College System","20200409","grant","$1,212,243","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Kentucky","Bowling Green","","","","","","0","","non-profit","","Kentucky","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southeast Community College","Southeast Community College","20200409","grant","$2,141,218","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Nebraska","","","","","","","0","","non-profit","","Nebraska","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southeast Kentucky Community And Technical College","Kentucky Community and Technical College System","20200409","grant","$808,496","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Kentucky","Cumberland","","","","","","0","","non-profit","","Kentucky","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Raleigh-Durham International","Raleigh-Durham Airport Authority","20200414","grant","$49,591,593","$0","$0","Federal Aviation Administration","Airport Grant Program ($500,000 and up)","1st Round Payment (CARES Act). The amounts, which appear on a map found at the URL below, can also be downloaded into a KML file by expanding the map to full screen and clicking on the three dots at the top of the legend.","https://www.faa.gov/airports/cares_act/map/","","North Carolina","Raleigh","","","","","","0","","government-owned","","North Carolina","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southeastern Community College","Southeastern Community College (NC)","20200409","grant","$559,151","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","North Carolina","","","","","","","0","","non-profit","","North Carolina","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southeastern Community College","Southeastern Community College (IA)","20200409","grant","$577,529","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Iowa","","","","","","","0","","non-profit","","Iowa","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southeastern Louisiana University","University Of Louisiana System","20200409","grant","$5,290,142","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Louisiana","","","","","","","0","","non-profit","","Louisiana","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southeastern Oklahoma State University","Oklahoma State System of Higher Education","20200409","grant","$1,059,074","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Oklahoma","","","","","","","0","","non-profit","","Oklahoma","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southeastern Technical College","Technical College System of Georgia","20200409","grant","$629,392","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Georgia","","","","","","","0","","non-profit","","Georgia","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Careers Institute","Endeavor Capital LLC","20200409","grant","$3,152,620","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Texas","","","","","","","0","","privately held","","Oregon","USA","private equity (including portfolio companies)","private equity (including portfolio companies)","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Connecticut State University","Connecticut State Colleges & Universities","20200409","grant","$4,195,084","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Connecticut","","","","","","","0","","non-profit","","Connecticut","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Crescent Technical College","Technical College System of Georgia","20200409","grant","$1,956,143","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Georgia","","","","","","","0","","non-profit","","Georgia","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Illinois University At Carbondale","Southern Illinois University","20200409","grant","$4,433,317","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Illinois","Carbondale","","","","","","0","","non-profit","","Illinois","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Illinois University Edwardsville","Southern Illinois University","20200409","grant","$4,839,196","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Illinois","Edwardsville","","","","","","0","","non-profit","","Illinois","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Range Regional","Chisholm-Hibbing Airport","20200414","grant","$1,070,404","$0","$0","Federal Aviation Administration","Airport Grant Program ($500,000 and up)","1st Round Payment (CARES Act). The amounts, which appear on a map found at the URL below, can also be downloaded into a KML file by expanding the map to full screen and clicking on the three dots at the top of the legend.","https://www.faa.gov/airports/cares_act/map/","","Minnesota","Hibbing","","","","","","0","","government-owned","","Minnesota","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Maine Community College","Maine Community College System","20200409","grant","$1,448,649","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Maine","","","","","","","0","","non-profit","","Maine","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Regional Technical College","Technical College System of Georgia","20200409","grant","$1,802,036","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Georgia","","","","","","","0","","non-profit","","Georgia","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern State Community College","University System of Ohio","20200409","grant","$659,788","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Ohio","","","","","","","0","","non-profit","","Ohio","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Technical College","Southern Technical College","20200409","grant","$888,042","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Florida","","","","","","","0","","non-profit","","Florida","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Technical College","Southern Technical College","20200409","grant","$1,048,583","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Florida","","","","","","","0","","non-profit","","Florida","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"Southern Union State Community College","Alabama Community College System","20200409","grant","$1,598,050","$0","$0","Education Department","Higher Education Emergency Relief Fund ($500,000 and up)","1st Round Payment (HEERF I). Amount is the maximum portion of the school's allocation that can be used for institutional costs.","https://www2.ed.gov/about/offices/list/ope/allocationstableinstitutionalportion.pdf","","Alabama","","","","","","","0","","non-profit","","Alabama","USA","miscellaneous services","university","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
