"Recipient Company","Parent Company","Award Date","Award Type","Grant Amount","Face Loan Amount","Contract Amount","Awarding Agency","Program Name","Award Details","Data Source for Award","Facility Name","Facility State","Facility City","Facility Street Address","Facility Zip Code","Facility Congressional District","Facility NAICS Code","PPP Lender","Jobs Reported at Time of Application","Notes","Ownership Structure","Stock Ticker Symbol","Parent Headquarters State","Parent Headquarters Country","Parent Sector","Parent Industry","Parent Total Workforce at end of 2019","Parent Latest Workforce Size","Parent Employment-related Penalties Since 2010","Parent Federal Corporate Income Tax Rate","Parent Total Federal, State, and Local Subsidies Since 2010","Parent Government-contracting-related Penalties Since 2010","Parent Environmental / Healthcare / Safety Penalties Since 2010","Parent Consumer Protection / Financial / Competition-related Penaties Since 2010","Parent Ratio of CEO Pay to that of Median Worker","CEO Pay","Median Worker Pay","Parent TARP Loans Received During Financial Crisis","Employment Issues","Tax/Subsidy Issues","Government Contracting Issues","Environment/Safety Issues","Consumer Protection Issues","CEO Compensation Issues","POGO Link","Just Capital Link","Follow The Money Link","Violation Tracker Link","Subsidy Tracker Link"
"BOHLKE LLC","Bohlke LLC","20200414","loan","$0","$848,300","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Virgin Islands of the U.S.","Christensted","Henry Rohlsen Airport RR#1","00850","VI-","481211","Greater Nevada CU","62","","privately held","","Virgin Islands of the U.S.","USA","freight and logistics","air cargo carriers","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"BONNER GENERAL HOSPITAL, INC","Bonner General Hospital, Inc.","20200427","loan","$0","$5,222,852","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Idaho","Sandpoint","520 North Third","83864","ID-01","622110","Columbia State Bank","461","","non-profit","","Idaho","USA","healthcare services","healthcare services","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"BOONE COUNTY HOSPITAL","Boone County Hospital","20200410","loan","$0","$3,780,684","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Iowa","BOONE","1015 Union Street","50036","IA-04","622110","VisionBank of Iowa","0","","non-profit","","Iowa","USA","healthcare services","healthcare services","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"BOONE MEMORIAL HOSPITAL, INC.","Boone Memorial Hospital Inc","20200427","loan","$0","$3,641,200","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","West Virginia","MADISON","701 Madison Avenue","25130","WV-03","622110","United Bank","350","","non-profit","","West Virginia","USA","healthcare services","healthcare services","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"BOSTON MARKET CORP","Sun Capital Partners","20200427","loan","$0","$10,000,000","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Colorado","GOLDEN","14103 Denver West Parkway","80401","CO-07","722513","Meridian Bank","500","","privately held","","Florida","USA","private equity (including portfolio companies)","private equity (including portfolio companies)","0","0","$6,535,000","","$0","$0","$50,505","$0","","$0","$0","$0","yes","no","no","no","no","no","","","","sun-capital-partners",""
"BOUCHARD TRANSPORTATION CO. INC.","Bouchard Transportation","20200428","loan","$0","$7,885,000","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","MELVILLE","58 S SERVICE RD SUITE 150","11747","NY-03","483113","Signature Bank","0","","privately held","","New York","USA","miscellaneous services","barge services","0","0","$4,416,123","","$0","$0","$23,300,000","$0","","$0","$0","$0","yes","no","no","yes","no","no","","","","bouchard-transportation",""
"BRAD FOOTE GEAR WORKS, INC","Broadwind Energy","20200405","loan","$0","$2,472,479","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Illinois","CICERO","3250 S CENTRAL AVE","60804","IL-04","333612","CIBC Bank USA","130","","publicly traded","BWEN","Illinois","USA","miscellaneous energy products and systems","energy equipment","521","0","$0","","$0","$0","$1,521,000","$1,000,000","","$1,387,724","$0","$0","no","no","no","yes","yes","no","","","","broadwind-energy",""
"BRAMAN AUTOMOTIVE, INC.","Braman Automotive","20200414","loan","$0","$1,545,300","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Florida","MIAMI","2060 BISCAYNE BLVD","33137","FL-24","441110","Truist Bank d/b/a Branch Banking & Trust Co","106","","privately held","","Florida","USA","miscellaneous services","automotive sales","0","0","$0","","$174,859","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","","braman-automotive"
"BRAMAN MOTORS, INC.","Braman Automotive","20200406","loan","$0","$5,921,500","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Florida","MIAMI","2060 Biscayne Blvd","33137","FL-24","441110","City National Bank of Florida","405","","privately held","","Florida","USA","miscellaneous services","automotive sales","0","0","$0","","$174,859","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","","braman-automotive"
"BRANSON AIRPORT LLC","BRANSON AIRPORT LLC","20200405","loan","$0","$340,000","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Missouri","HOLLISTER","4000 BRANSON AIRPORT BLVD","65672","MO-07","488119","Arvest Bank","35","","privately held","","Missouri","USA","miscellaneous services","airports","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","","","","","",""
"BRONXCARE DR. MARTIN LUTHER KING JR., HEALTH CENTER","Bronxcare Health System","20200508","loan","$0","$3,628,360","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","Bronx","1276 Fulton Avenue","10456","NY-15","621498","JPMorgan Chase Bank, National Association","326","","non-profit","","New York","USA","healthcare services","healthcare services","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"BRONXCARE SPECIAL CARE CENTER","Bronxcare Health System","20200508","loan","$0","$3,317,517","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","Bronx","1276 Fulton Avenue","10456","NY-15","623110","JPMorgan Chase Bank, National Association","246","","non-profit","","New York","USA","healthcare services","healthcare services","0","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"AIR INDUSTRIES MACHINING CORPORATION","AIR INDUSTRIES GROUP","20200429","loan","$0","$1,531,400","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","Bay Shore","1460 5th Ave","11706","NY-02","332710","Sterling National Bank","0","","publicly traded","AIRI","New York","USA","aerospace and military contracting","aerospace equipment","159","0","$0","","$0","$0","$0","$0","","$290,800","$0","$0","no","no","no","no","no","no","","","","",""
"AKOUSTIS INC","Akoustis Technologies, Inc.","20200520","loan","$0","$1,633,225","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","North Carolina","CORNELIUS","10602 Bailey Rd","28031","NC-12","334413","Bank of America, National Association","91","","publicly traded","AKTS","North Carolina","USA","information technology","wireless filter products","90","0","$0","","$0","$0","$0","$0","","$658,709","$0","$0","no","no","no","no","no","no","","","","",""
"ALLIED ESPORTS INTERNATIONAL, INC.","Allied Esports Entertainment Inc.","20200501","loan","$0","$421,852","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","Irvine","1920 Main St Ste 1150","92614","CA-45","481111","JPMorgan Chase Bank, National Association","11","","publicly traded","AESE","California","USA","entertainment","sports and entertainment","146","0","$0","","$0","$0","$0","$0","","$795,940","$0","$0","no","no","no","no","no","no","","","","",""
"ALPHATEC SPINE INC","Alphatec Holdings, Inc.","20200415","loan","$0","$4,270,693","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","Carlsbad","5818 El Camino Real","92008","CA-49","423450","Silicon Valley Bank","0","","publicly traded","ATEC","California","USA","medical equipment and supplies","spine surgery products","227","0","$0","","$0","$0","$0","$0","","$7,960,105","$0","$0","no","no","no","no","no","yes","","","","",""
"AMPLIFY ENERGY OPERATING LLC","Amplify Energy Corp.","20200413","loan","$0","$5,516,340","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","HOUSTON","500 Dallas St","77002","TX-18","484110","KeyBank National Association","292","","publicly traded","AMPY","Texas","USA","oil and gas","oil and natural gas development and production","230","0","$0","","$0","$0","$0","$0","8.2 to 1","$975,117","$111,921","$0","no","no","no","no","no","no","","","","",""
"AMPLITECH, INC.","AmpliTech Group, Inc.","20200415","loan","$0","$232,200","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","BOHEMIA","620 Johnson Ave","11716","NY-02","423610","BNB Bank","21","","publicly traded","AMPG","New York","USA","information technology","micro-wave amplifier design and assembly","19","0","$0","","$0","$0","$0","$0","","$212,400","$0","$0","no","no","no","no","no","no","","","","",""
"APEX GLOBAL BRANDS INC","Apex Global Brands Inc. (formerly Cherokee Inc.)","20200414","loan","$0","$735,552","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","VAN NUYS","5990 Sepulveda Blvd Ste 600","91411","CA-29","448190","Bank of America, National Association","33","","publicly traded","APEX","California","USA","apparel","clothing brands","43","0","$0","","$0","$0","$0","$0","","$930,633","$0","$0","no","no","no","no","no","no","","","","",""
"APPLIED MINERALS INC","Applied Minerals, Inc.","20200501","loan","$0","$223,075","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","BROOKLYN","SUITE 301","11201","NY-07","212325","Bank of America, National Association","13","","publicly traded","AMNL","New York","USA","mining and minerals","iron oxide extraction","11","0","$0","","$0","$0","$0","$0","","$425,000","$0","$0","no","no","no","no","no","no","","","","",""
"BIOCARDIA LIFESCIENCES, INC.","BioCardia, Inc.","20200428","loan","$0","$506,413","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","san carlos","125 SHOREWAY RD STE B","94070","CA-14","541714","Silicon Valley Bank","26","","publicly traded","BCDA","California","USA","pharmaceuticals","regenerative medicine","24","0","$0","","$0","$0","$0","$0","","$1,102,000","$0","$0","no","no","no","no","no","no","","","","",""
"BIONIK, INC","Bionik Laboratories Corp.","20200501","loan","$0","$459,912","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Massachusetts","WATERTOWN","80 COOLIDGE HILL RD","02472","MA-05","541712","Bank of America, National Association","19","","publicly traded","BNKL","","Canada","medical equipment and supplies","healthcare technology","30","0","$0","","$0","$0","$0","$0","","$1,031,769","$0","$0","no","no","no","no","no","no","","","","",""
"BROWNIES MARINE GROUP","Brownie's Marine Group, Inc","20200408","loan","$0","$159,600","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Florida","POMPANO BEACH","3001 NW  25TH AVE","33069","FL-22","339920","South Atlantic Bank","30","","publicly traded","BWMG","Florida","USA","miscellaneous manufacturing","SCUBA gear","20","0","$0","","$0","$0","$0","$0","","$474,930","$0","$0","no","no","no","no","no","no","","","","",""
"CAPRICOR, INC.","CAPRICOR THERAPEUTICS, INC.","20200412","loan","$0","$318,160","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","BEVERLY HILLS","8840 WILSHIRE BLVD","90211","CA-33","541714","City National Bank","16","","publicly traded","CAPR","California","USA","medical equipment and supplies","biotechnology products","16","0","$0","","$0","$0","$0","$0","","$228,919","$0","$0","no","no","no","no","no","no","","","","",""
"CARDAX PHARMA, INC.","CARDAX, INC.","20200411","loan","$0","$211,300","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Hawaii","HONOLULU","2800 Woodlawn Drive, Suite 129","96822","HI-01","325411","Bank of Hawaii","0","","publicly traded","CDXI","Hawaii","USA","pharmaceuticals","pharmaceuticals","12","0","$0","","$0","$0","$0","$0","","$198,651","$0","$0","no","no","no","no","no","no","","","","",""
"CEMTREX ADVANCED TECHNOLOGIES INC.","CEMTREX INC","20200501","loan","$0","$193,000","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","Farmingdale","110 Bi-County Blvd","11735","NY-02","541990","Citibank, N.A.","9","","publicly traded","CETX","New York","USA","information technology","multi-industry technologies","297","0","$0","","$0","$0","$0","$0","","$596,382","$0","$0","no","no","no","no","no","no","","","","",""
"CFN ENTERPIRSES INC.","CFN Enterprises Inc.","20200427","loan","$0","$263,000","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","SANTA MONICA","2601 OCEAN PARK BLVD, STE 310","90405","CA-33","541511","Pacific Western Bank","10","","publicly traded","CNFN","California","USA","business services","marketing technology","58","0","$0","","$0","$0","$0","$0","","$355,101","$0","$0","no","no","no","no","no","no","","","","",""
"CLINIGENCE LLC","Clinigence Holdings, Inc.","20200415","loan","$0","$311,125","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Georgia","Atlanta","55 Ivan Allen Jr Blvd NW Ste 875,","30308","GA-05","511210","Silicon Valley Bank","11","","publicly traded","CLNH","New York","USA","medical equipment and supplies","medical technologies","12","0","$0","","$0","$0","$0","$0","","$124,925","$0","$0","no","no","no","no","no","no","","","","",""
"CONTINENTAL MATERIALS INC","Continental Materials Corporation","20200409","loan","$0","$342,295","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Pennsylvania","Abington","1614 Old York Road","19001","PA-04","423330","Republic First Bank d/b/a Republic Bank","21","","publicly traded","CUO","Illinois","USA","building materials","HVAC and construction materials","460","0","$0","","$0","$0","$0","$0","","$672,899","$0","$0","no","no","no","no","no","no","","","","",""
"CORNING NATURAL GAS CORP","Corning Natural Gas Holding Corp","20200415","loan","$0","$970,900","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","New York","Corning","330 West William Street","14830","NY-23","221210","Manufacturers and Traders Trust Company","62","","publicly traded","CNIG","New York","USA","utilities and power generation","natural gas and electric distribution","64","0","$0","","$0","$0","$0","$0","","$226,778","$0","$0","no","no","no","no","no","no","","","","",""
"CURE PHARMACEUTICAL CORPORATION","Cure Pharmaceutical Holding Corp.","20200413","loan","$0","$399,000","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","Oxnard","1620 Beacon Place","93033","CA-26","325412","MidFirst Bank","21","","publicly traded","CURR","California","USA","pharmaceuticals","biopharmaceuticals","19","0","$0","","$0","$0","$0","$0","","$465,598","$0","$0","no","no","no","no","no","no","","","","",""
"DIGERATI SYSTEMS INC.","Digerati Technologies, Inc.","20200428","loan","$0","$309,300","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Texas","FRISCO","8501 WADE BLVD","75034","TX-03","541618","First United Bank and Trust Company","14","","publicly traded","DTGI","Texas","USA","information services","cloud hosting services","23","0","$0","","$0","$0","$0","$0","","$338,590","$0","$0","no","no","no","no","no","no","","","","",""
"DUOS TECHNOLOGIES, INC.","Duos Technologies Group, Inc.","20200415","loan","$0","$1,410,270","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Florida","JACKSONVILLE","6622 SOUTHPOINT DR S","32216","FL-04","541330","BBVA USA","75","","publicly traded","DUOT","Florida","USA","information technology","business software","81","0","$0","","$0","$0","$0","$0","","$604,146","$0","$0","no","no","no","no","no","no","","","","",""
"DYNATRONICS LASER CORP.","Dynatronics Corporation","20200428","loan","$0","$3,477,412","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Utah","SALT LAKE CITY","7030 Park Center Drive","84121","UT-03","423450","Bank of the West","221","","publicly traded","DYNT","Minnesota","USA","medical equipment and supplies","medical devices","284","0","$0","","$0","$0","$0","$0","","$1,157,343","$0","$0","no","no","no","no","no","no","","","","",""
"EKSO BIONICS INC.","Ekso Bionics Holdings, Inc.","20200413","loan","$0","$1,085,630","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","RICHMOND","1414 HARBOUR WAY S","94804","CA-11","423450","Western Alliance Bank","20","","publicly traded","EKSO","California","USA","medical equipment and supplies","exoskeleton technology","68","0","$0","","$0","$0","$0","$0","","$660,604","$0","$0","no","no","no","no","no","no","","","","",""
"EMMIS OPERATING COMPANY","Emmis Communications","20200405","loan","$0","$4,753,300","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Indiana","INDIANAPOLIS","40 Monument Circle, Suite 700","46204","IN-07","515112","STAR Financial Bank","432","","publicly traded","EMMS","Indiana","USA","media","radio broadcasting","560","0","$0","","$860,000","$0","$0","$12,000","","$2,559,160","$0","$0","no","no","no","no","no","yes","","","","emmis-communications","emmis-communications"
"EVERFLOW EASTERN, INC.","Everflow Eastern Partners, L.P.","20200410","loan","$0","$326,932","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Ohio","Canfield","585 W. Main St","44406","OH-06","211130","JPMorgan Chase Bank, National Association","19","","publicly traded","","Ohio","USA","oil and gas","oil and gas exploration and production","19","0","$0","","$0","$0","$0","$0","","$393,000","$0","$0","no","no","no","no","no","no","","","","",""
"EYEPOINT PHARMACEUTICALS US, INC.","EyePoint Pharmaceuticals, Inc.","20200415","loan","$0","$2,041,405","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Massachusetts","WATERTOWN","480 Pleasant Street","02472","MA-05","325412","Silicon Valley Bank","81","","publicly traded","EYPT","Massachusetts","USA","pharmaceuticals","intraocular medications","84","0","$0","","$0","$0","$0","$0","","$2,079,783","$0","$0","no","no","no","no","no","yes","","","","",""
"FLANIGAN'S ENTERPRISES INC","FLANIGANS ENTERPRISES INC","20200428","loan","$0","$5,929,508","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Florida","FORT LAUDERDALE","5059 NE 18th Avenue","33334","FL-22","722511","Bank of America, National Association","500","","publicly traded","BDL","Florida","USA","restaurants and foodservice","restaurants","1,870","0","$0","","$0","$0","$0","$0","","$1,213,000","$0","$0","no","no","no","no","no","no","","","","",""
"FLUX POWER, INC.","Flux Power Holdings, Inc.","20200501","loan","$0","$1,297,083","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","California","VISTA","2685 S MELROSE DR","92081","CA-49","334515","Bank of America, National Association","94","","publicly traded","FLUX","California","USA","miscellaneous energy products and systems","lithium-ion storage products","75","0","$0","","$0","$0","$0","$0","","$1,663,010","$0","$0","no","no","no","no","no","no","","","","",""
"GEOVAX, INC","GeoVax Labs, Inc.","20200407","loan","$0","$170,200","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Georgia","SMYRNA","1900 LAKE PARK DR, Suite 380","30080","GA-11","541714","First American Bank & Trust Company","7","","publicly traded","GOVXD","Georgia","USA","pharmaceuticals","biotechnology","7","0","$0","","$0","$0","$0","$0","","$0","$0","$0","no","no","no","no","no","no","","","","",""
"HARBOR CUSTOM DEVELOPMENTS, INC.","Harbor Custom Development, Inc.","20200404","loan","$0","$582,800","$0","Small Business Administration","Paycheck Protection Program ($150,000 and up)","","https://data.sba.gov/dataset/ppp-foia","","Washington","GIG HARBOR","11505 Burnham Dr","98332","WA-06","236117","Timberland Bank","37","","publicly traded","","Washington","USA","real estate","real estate development","40","0","$0","","$0","$0","$0","$0","","$391,451","$0","$0","no","no","no","no","no","no","","","","",""
